ID_TEXT,ID_TEXT,CIUDAD,TIPO,UNIVERSIDAD_EVALUADA_NACIONAL,PRESTIGIO DE LA INSTITUCIÓN,NIVEL ACADÉMICO,OFERTA ACADÉMICA (CARRERAS OFERTADAS),PROFESORES,PROGRAMAS DE BECAS,COSTO DE COLEGIATURA Y OPCIONES DE PAGO,"INSTALACIONES, AULAS Y LABORATORIOS",PLAN DE ESTUDIOS,AMBIENTE ESTUDIANTIL,ACREDITACIONES Y CERTIFICACIONES,UBICACIÓN DEL CAMPUS,MODALIDADES HÍBRIDAS (PRESENCIAL Y ONLINE),MODALIDADES ONLINE,VALORES INSTITUCIONALES
Entrevistado_112,Entrevistado_112,TEPIC,Primera mención,UNIVER,8.0,8.0,10.0,10.0,6.4,5.8,4.0,6.5,7.7,6.4,7.5,6.0,7.3,6.9
Entrevistado_113,Entrevistado_113,MÉRIDA,Primera mención,OTRAS1,6.0,3.0,7.8,8.0,9.0,10.0,6.4,6.5,7.0,6.4,7.5,7.3,7.3,6.9
Entrevistado_114,Entrevistado_114,CULIACÁN,Primera mención,OTRAS1,10.0,10.0,7.8,8.0,6.4,8.0,10.0,6.5,7.7,6.4,7.5,9.0,7.3,6.9
Entrevistado_115,Entrevistado_115,LEÓN,Primera mención,UNITEC,10.0,8.0,7.8,10.0,7.0,1.0,6.4,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_116,Entrevistado_116,VILLAHERMOSA,Primera mención,OTRAS1,7.0,8.0,2.0,6.0,8.0,5.8,6.4,6.5,7.7,6.4,7.5,10.0,7.3,6.9
Entrevistado_117,Entrevistado_117,MONTERREY,Primera mención,OTRAS1,7.0,6.0,7.0,8.0,6.4,7.0,1.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_118,Entrevistado_118,VILLAHERMOSA,Primera mención,OTRAS1,9.0,1.0,6.0,10.0,7.0,5.8,6.4,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_119,Entrevistado_119,AGUASCALIENTES,Primera mención,OTRAS1,9.0,8.0,3.0,8.0,1.0,3.0,6.4,6.5,7.7,10.0,7.5,7.3,7.3,6.9
Entrevistado_120,Entrevistado_120,CULIACÁN,Primera mención,OTRAS1,8.0,9.0,6.0,8.0,7.0,5.8,6.4,6.5,7.7,6.4,7.5,9.0,7.3,6.9
Entrevistado_121,Entrevistado_121,MEXICALI,Primera mención,OTRAS1,8.0,10.0,10.0,8.0,1.0,5.8,6.4,6.5,7.7,6.4,7.5,9.0,7.3,6.9
Entrevistado_122,Entrevistado_122,MORELIA,Primera mención,OTRAS1,8.4,7.0,7.8,8.0,4.0,3.0,7.0,1.0,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_123,Entrevistado_123,GUADALAJARA,Primera mención,UAG,5.0,6.0,7.0,8.0,6.4,5.8,6.4,10.0,7.7,6.4,7.5,1.0,7.3,6.9
Entrevistado_124,Entrevistado_124,AGUASCALIENTES,Primera mención,OTRAS1,9.0,10.0,7.8,8.0,10.0,5.8,7.0,6.5,7.7,6.4,10.0,7.3,7.3,6.9
